16:37:39 | INFO | ComparingAGivenBookWithTheFirstPageBooksInAmazon:28 | Creating web driver configuration...
16:37:39 | INFO | ComparingAGivenBookWithTheFirstPageBooksInAmazon:28 | Open browser...
16:38:30 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //span[@class='a-size-base a-color-secondary' or @class='a-size-base a-color-price a-color-price']
16:38:30 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //div[@id='centerCol' or @class='a-fixed-right-grid-col a-col-left'] | //div[@id='aud_center_col']
16:38:30 | INFO | AmazonBookList:28                        | Check every product stats, elements --> By.xpath: (//a[@class='a-link-normal s-no-outline' or class='a-link-normal s-underline-text s-underline-link-text s-link-style a-text-normal'])[14]
16:38:30 | INFO | AmazonBookList:28                        | Check every product stats, element --> By.xpath: (//a[@class='a-link-normal s-no-outline' or class='a-link-normal s-underline-text s-underline-link-text s-link-style a-text-normal'])[14]
16:38:33 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //h1[@id='title'] | //span[@id='productTitle']
16:38:33 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //div[@id='bylineInfo']
16:38:33 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //span[@class='a-size-base a-color-secondary' or @class='a-size-base a-color-price a-color-price']
16:38:33 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //div[@id='centerCol' or @class='a-fixed-right-grid-col a-col-left'] | //div[@id='aud_center_col']
16:38:34 | INFO | AmazonBookList:28                        | Check every product stats, elements --> By.xpath: (//a[@class='a-link-normal s-no-outline' or class='a-link-normal s-underline-text s-underline-link-text s-link-style a-text-normal'])[15]
16:38:34 | INFO | AmazonBookList:28                        | Check every product stats, element --> By.xpath: (//a[@class='a-link-normal s-no-outline' or class='a-link-normal s-underline-text s-underline-link-text s-link-style a-text-normal'])[15]
16:38:37 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //h1[@id='title'] | //span[@id='productTitle']
16:38:37 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //div[@id='bylineInfo']
16:38:37 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //span[@class='a-size-base a-color-secondary' or @class='a-size-base a-color-price a-color-price']
16:38:37 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //div[@id='centerCol' or @class='a-fixed-right-grid-col a-col-left'] | //div[@id='aud_center_col']
16:38:38 | INFO | AmazonBookList:28                        | Check every product stats, elements --> By.xpath: (//a[@class='a-link-normal s-no-outline' or class='a-link-normal s-underline-text s-underline-link-text s-link-style a-text-normal'])[16]
16:38:38 | INFO | AmazonBookList:28                        | Check every product stats, element --> By.xpath: (//a[@class='a-link-normal s-no-outline' or class='a-link-normal s-underline-text s-underline-link-text s-link-style a-text-normal'])[16]
16:38:41 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //h1[@id='title'] | //span[@id='productTitle']
16:38:41 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //div[@id='bylineInfo']
16:38:41 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //span[@class='a-size-base a-color-secondary' or @class='a-size-base a-color-price a-color-price']
16:38:41 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //div[@id='centerCol' or @class='a-fixed-right-grid-col a-col-left'] | //div[@id='aud_center_col']
16:38:41 | INFO | SelenideTools:92                         | Open url in new window
16:38:46 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //h1[@id='title'] | //span[@id='productTitle']
16:38:46 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //div[@id='bylineInfo']
16:38:46 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //span[@class='a-size-base a-color-secondary' or @class='a-size-base a-color-price a-color-price']
16:38:46 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //div[@id='centerCol' or @class='a-fixed-right-grid-col a-col-left'] | //div[@id='aud_center_col']
16:38:46 | INFO | TestListener:23                          | PASSED test: bookInTheListVerification
16:38:46 | INFO | CloseDriverCommand:30                    | Close webdriver: 1 -> ChromeDriver: chrome on MAC (36be583229fcbedfe60579fd3130dae0)...
16:38:47 | INFO | CloseDriverCommand:32                    | Closed webdriver 1 in 180 ms
16:38:47 | INFO | ComparingAGivenBookWithTheFirstPageBooksInAmazon:28 | Web driver closed!
16:38:47 | INFO | CloseDriverCommand:30                    | Close webdriver: 40 -> ChromeDriver: chrome on MAC (null)...
16:38:47 | INFO | FileHelper:81                            | Deleted empty folder: /Users/max_horokhov/Desktop/Projects/Archive/build/downloads/1692020259547_36580_1
16:38:47 | INFO | CloseDriverCommand:32                    | Closed webdriver 40 in 0 ms
